PID_79,HHID_79,core_sample,sample_wgts,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_Adj,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79
8189,8189,1,89261,6,59,1,1,0,0,0,1,0,5.0139999,10,419,6,6,6,6,,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,,0,0,0,1
8190,8190,1,109682,8,58,1,1,0,0,1,1,0,,9,547,4,4,0,0,33894.715,63052.336,67158.727,64849.367,69634.672,84458.313,86632.563,87925.805,83418.516,80049.93,85481.68,90542.281,100156.95,105971.14,98164.469,,,89321.453,75720.461,,,46,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,,52,52,,,0,0,0,1
8191,8191,1,579677,8,59,1,1,0,1,1,0,1,48.564999,9,535,12,12,13,14,0,4378.6348,12592.262,20265.428,39791.242,19195.07,46081.148,38687.355,33367.406,28817.973,29530.035,36216.914,34339.527,31084.867,32721.488,36937.773,47403.477,44660.727,31550.193,0,27724.857,0,13,27,19,47,39,31,29,23,49,52,52,52,52,27,52,52,52,31,7,52,,,,
8192,8192,1,458668,6,58,1,1,0,1,0,0,1,55.879002,12,500,15,15,12,14,1129.8239,0,29381.943,0,0,67182.75,0,35170.324,40040.887,24014.979,54397.434,37725.953,0,40758.129,62825.258,0,,,,,,4,4,50,49,52,45,50,52,52,52,52,52,52,52,36,52,,,,,,0,0,1,0
8193,8193,1,181585,6,59,1,0,1,1,0,1,0,53.064999,5,495,12,12,12,10,677.89429,0,0,0,0,0,0,0,20020.443,41625.961,21758.973,6036.1523,,33965.109,40836.418,38169.035,47403.477,46893.762,52583.652,,67858.039,8,1,0,0,0,0,0,0,42,52,32,12,52,52,52,52,52,52,52,,52,0,0,0,1
8194,8194,1,164846,2,57,1,0,1,0,0,1,0,,13,456,10,10,6,6,0,0,0,0,0,0,5529.7378,84408.773,40040.887,57635.945,40409.523,55834.41,31477.9,17390.137,14397.455,11081.333,13035.956,27912.955,0,0,0,0,0,0,0,0,0,16,52,52,52,50,39,52,52,52,43,52,40,0,0,0,0,0,0,1
8195,8195,1,173758,6,60,1,0,1,1,0,1,0,10.295,14,344,11,11,0,1,,2627.1807,2791.2847,607.96283,994.78101,0,1105.9476,0,0,0,1243.3699,754.51904,0,4075.813,,,,,,,,,25,23,51,12,0,11,24,14,27,11,52,1,33,,,,,,,,0,0,0,1
8196,8196,0,,6,57,0,1,0,1,0,0,0,30.371,8,516,12,12,16,10,23048.406,19703.855,20991.301,0,0,0,0,0,,,,,,,,,,,,,,31,52,38,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,1
8197,8197,1,196938,12,57,1,0,1,1,1,1,0,6.7930002,9,432,11,11,12,,33894.715,3065.0442,20987.104,,45759.926,28792.605,8294.6064,61548.066,53387.852,32019.971,35746.887,,40062.781,42388.457,65442.977,61562.957,67549.953,61408.5,0,0,10663.406,38,3,25,52,52,25,10,52,50,52,42,48,52,52,52,52,52,52,26,0,0,0,0,0,1
8198,8198,1,82428,6,61,1,1,0,0,0,1,0,,10,435,6,6,5,3,,,0,1763.0922,505.34875,,0,0,0,0,0,0,0,0,,0,18961.391,0,0,0,0,,,0,22,37,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
8199,8199,1,95235,6,59,0,1,0,0,1,1,0,,12,,,11,14,10,31635.066,8912.7109,1636.994,2837.1599,0,,0,,,0,,,,,,,,,,,,42,8,10,14,0,,0,,,0,,,,,,,,,,,,0,0,0,1
8200,8200,1,95235,11,59,1,1,0,0,1,1,0,9.7329998,11,467,12,12,6,6,0,15325.221,20987.104,18238.885,19895.621,7678.0283,,8792.5811,8341.8516,11206.989,,0,,,,,1185.0869,3349.5544,6152.2876,,2908.2017,13,13,36,51,39,3,47,52,22,31,,2,,51,,,0,52,51,,52,0,0,0,1
8201,8200,1,114825,6,62,1,1,0,0,1,1,0,15.715,6,647,12,12,,6,,,,20265.428,,9597.5352,,19343.678,0,800.49927,3885.531,0,21462.205,4075.813,,,18961.391,22330.363,0,19311.652,26173.816,,,,35,,32,52,48,0,2,50,52,52,52,,,52,52,52,52,51,0,0,0,1
8202,8202,1,93567,9,60,1,1,0,0,0,1,0,,12,438,6,6,4,3,,0,0,162.12341,0,,0,0,0,0,0,0,,0,,,,,,14229.639,0,,0,0,27,0,,0,0,0,0,0,0,,0,,,,,,52,42,0,0,0,1
8203,8203,1,106049,7,57,1,1,0,1,1,1,0,28.365999,6,527,14,14,0,0,54231.543,67868.836,16789.682,172256.14,89530.289,191952.63,0,0,0,0,0,0,0,0,259311.25,153907.39,138655.17,167477.73,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,,,0,0,0,1
8204,8204,1,87401,7,58,1,1,0,0,1,1,0,,10,421,6,,2,3,,,,16212.342,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,0,0,0,1
8205,8205,1,75559,7,59,1,1,0,0,1,1,0,,7,547,9,9,4,4,15817.533,6567.9517,16789.682,33235.301,25864.307,33591.375,31335.182,29894.773,36704.148,,,,,,,,,,,,,18,0,49,44,52,52,52,52,51,,,,,,,,,,,,,0,0,0,1
8206,8206,1,87401,10,58,1,0,0,1,1,1,0,33.437,8,569,12,12,12,2,9038.5908,2189.3174,0,0,12932.153,13436.549,30413.559,22860.709,8341.8516,17995.223,8392.7471,12072.305,19573.531,27172.088,26177.191,,,21437.148,23263.008,14229.639,,1,16,0,0,32,33,52,46,13,28,36,49,39,52,52,,,52,52,52,,0,0,0,1
8207,8207,1,84139,7,57,1,1,0,1,1,1,0,8.0819998,4,539,9,9,0,4,0,43786.344,52467.758,36477.77,15916.496,19195.07,,43962.902,33367.406,49630.953,55951.645,,0,29889.297,0,38415.285,,44660.727,36808.559,0,0,0,27,50,44,17,33,30,16,52,51,50,18,4,23,0,49,26,51,0,0,0,0,0,0,1
8208,8208,1,226243,5,64,1,0,1,1,0,0,1,51.492001,11,462,12,12,12,12,,,,,7958.248,8637.7813,16589.213,28136.258,26693.926,40024.965,38855.309,42253.066,44355.223,20379.064,64134.117,57746.055,14813.587,0,65203.73,,34898.422,,,,,34,52,40,46,50,52,52,52,52,52,52,52,18,52,52,,52,0,0,0,1
8209,8209,1,293617,5,58,0,1,0,1,1,0,1,6.5700002,11,367,12,12,5,6,11863.15,0,10923.787,0,0,0,663.56854,2523.4707,21688.814,22413.979,50087.602,21126.533,17169.764,16303.252,17015.174,44325.332,70631.18,89321.453,63100.387,73181,67858.039,31,0,24,0,0,0,30,28,49,52,52,52,48,52,52,52,52,41,52,52,52,0,0,0,1
8210,8209,1,197185,9,60,0,1,0,1,0,0,1,11.889,12,381,11,11,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1
8211,8211,1,106373,6,59,1,1,0,0,1,1,0,,8,369,9,9,,0,31635.066,31502.086,32320.139,28371.598,23874.744,18235.316,14745.968,17585.162,28362.295,20812.98,18650.549,13581.343,24323.832,17661.857,35339.207,,5925.4346,,,0,17449.211,49,52,52,52,51,50,49,37,45,52,52,51,51,18,52,,48,,,0,52,0,0,0,1
8212,8212,1,158873,9,57,1,1,0,1,0,0,1,71.745003,10,487,16,16,12,12,56491.191,50354.297,41974.207,42557.398,51728.613,53746.195,55297.379,70340.648,66734.813,65640.938,66831.133,70924.789,57232.547,61137.195,77222.711,86188.141,88881.523,,131459.14,,,52,52,44,37,52,52,52,52,52,52,52,52,52,52,52,52,52,,52,,,0,0,0,1
8213,8213,1,75454,10,62,0,0,0,1,0,1,0,13.505,9,386,11,11,,,,,,2431.8513,397.91241,0,11059.476,0,0,0,0,814.88055,0,0,1.3088596,4925.0366,0,4466.0728,5258.3652,5082.0137,12602.208,,,,25,8,0,9,14,0,0,0,0,0,0,52,42,0,52,52,52,52,0,0,0,1
8214,8214,1,71421,11,61,1,0,1,1,1,1,0,3.1789999,10,468,13,13,,9,,,29381.943,29384.869,33822.555,32631.619,55297.379,65065.098,66734.813,64039.941,77710.617,69415.75,68679.055,67930.219,96855.609,,,104952.71,103063.96,111804.3,96940.063,,,52,52,52,52,52,41,45,52,52,52,52,52,52,,,52,52,52,52,0,0,0,1
8215,8215,1,57034,8,63,1,1,0,0,0,1,0,52.358002,7,463,13,13,,4,,,,,23874.744,32631.619,35574.648,40445.871,23357.184,36822.965,37301.098,36216.914,28616.273,,,,,,,0,0,,,,,52,52,52,52,27,52,52,52,31,,,,,,,0,0,0,0,0,1
8216,8215,1,71421,1,61,1,1,0,0,1,1,0,4.9549999,12,522,12,12,4,4,,42428.969,46171.625,4863.7026,0,29733.164,38708.164,32004.994,38372.516,33620.969,37301.098,,34153.523,,34030.348,33243.996,35552.609,34612.063,33747.137,67082.586,34898.422,,52,52,33,0,43,52,52,52,52,52,,52,,52,52,52,52,52,52,52,0,0,0,1
8217,8217,1,77185,1,60,1,0,1,1,0,1,0,63.737999,11,539,16,14,10,12,33894.715,32839.758,23085.813,40530.855,31832.992,38390.141,9216.2295,38687.355,35035.777,48029.957,38078.203,36971.434,51509.293,63854.406,75259.422,86188.141,109028,102719.67,119890.73,119833.88,113419.87,35,50,52,38,52,28,52,47,45,44,48,52,52,52,52,52,52,52,52,52,52,0,0,0,1
8218,8218,1,219808,8,62,1,1,0,1,0,1,0,58.602001,15,510,13,13,15,12,,,,28969.428,29843.43,30712.113,20275.705,21102.193,16733.754,28817.973,29530.035,30180.762,31228.939,32026.381,40574.645,36408.332,28442.088,29811.035,28395.174,30492.082,27143.217,,,,52,52,52,45,51,49,52,52,48,52,52,52,52,52,52,48,52,52,0,0,0,1
8219,8218,1,248604,12,63,1,1,0,1,1,1,0,53.782001,10,501,16,15,14,12,,,,,13926.935,14012.401,18432.459,26377.742,26693.926,27216.975,32638.461,35311.492,35770.34,35323.715,35993.637,38169.035,42663.129,43544.207,46273.617,45738.125,47500.629,,,,,52,52,52,52,52,51,51,52,52,52,52,37,52,38,42,47,52,0,0,0,1
8220,8220,0,,3,61,1,1,0,0,0,0,0,,8,,16,12,16,12,,8757.2695,2497.4653,5572.9927,3020.1553,15356.057,1043328.8,118989.99,,,,,,,,,,,,,,,51,52,36,18,15,12,52,,,,,,,,,,,,,,0,0,0,1
